Provider Id,Provider Name
30033,PAYSON REGIONAL MEDICAL CENTER
30036,CHANDLER REGIONAL MEDICAL CENTER
30037,ST LUKES MEDICAL CENTER
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER
30043,SIERRA VISTA REGIONAL HEALTH CENTER INC
30055,KINGMAN REGIONAL MEDICAL CENTER
30061,BANNER BOSWELL MEDICAL CENTER
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER
30064,"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSIT, THE"
30065,BANNER DESERT MEDICAL CENTER
30067,LA PAZ REGIONAL HOSPITAL
30068,MT GRAHAM REGIONAL MEDICAL CENTER
30069,HAVASU REGIONAL MEDICAL CENTER
30071,FORT DEFIANCE INDIAN HOSPITAL
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION
30078,PHOENIX INDIAN MEDICAL CENTER
30083,PARADISE VALLEY HOSPITAL
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY
30085,NORTHWEST MEDICAL CENTER
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER
30088,BANNER BAYWOOD MEDICAL CENTER
30089,BANNER THUNDERBIRD MEDICAL CENTER
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL
30093,BANNER DEL E WEBB MEDICAL CENTER
30094,ARROWHEAD HOSPITAL
30100,CARONDELET HEART AND VASCULAR INSTITUTE
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR
30103,MAYO CLINIC HOSPITAL
30105,BANNER HEART HOSPITAL
30107,ARIZONA SPINE AND JOINT HOSPITAL
30108,SURGICAL SPECIALTY HOSPITAL OF ARIZONA
30110,WEST VALLEY HOSPITAL
30111,"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE"
30112,ARIZONA ORTHOPEDIC SURGICAL HOSPITAL
30113,WHITERIVER PHS INDIAN HOSPITAL
30114,ORO VALLEY HOSPITAL
30115,BANNER ESTRELLA MEDICAL CENTER
30117,VALLEY VIEW MEDICAL CENTER
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST
30119,MERCY GILBERT MEDICAL CENTER
30120,GILBERT HOSPITAL
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP"
30122,BANNER GATEWAY MEDICAL CENTER
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL
30126,ARIZONA REGIONAL MEDICAL CENTER
30128,HUALAPAI MOUNTAIN MEDICAL CENTER
30131,OASIS HOSPITAL
40001,SILOAM SPRINGS MEMORIAL HOSPITAL
40002,JOHNSON REGIONAL MEDICAL CENTER
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS
40007,ST VINCENT INFIRMARY MEDICAL CENTER
40010,MERCY MEDICAL CENTER
40011,"JOHN ED CHAMBERS MEM HOSP, INC"
40014,WHITE COUNTY MEDICAL CENTER
40015,MENA REGIONAL HEALTH SYSTEM
40016,UAMS MEDICAL CENTER
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER
40018,SUMMIT MEDICAL CENTER
40019,FORREST CITY MEDICAL CENTER
40020,ST BERNARDS MEDICAL CTR
40022,"NW ARKANSAS HOSPITALS, LLC"
40026,ST JOSEPHS MERCY HEALTH CENTER INC
40027,BAXTER REGIONAL MEDICAL CENTER
40029,CONWAY REGIONAL MEDICAL CENTER
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
40039,ARKANSAS METHODIST MEDICAL CENTER
40041,ST MARYS REGIONAL MEDICAL CENTER
40042,CRITTENDEN MEMORIAL HOSPITAL
40047,FIVE RIVERS MEDICAL CENTER
40050,OUACHITA COUNTY MEDICAL CENTER
40051,DREW MEMORIAL HOSPITAL
40055,SPARKS REGIONAL MEDICAL CENTER
40062,ST EDWARD MERCY MEDICAL CENTER
40067,MAGNOLIA HOSPITAL
40069,GREAT RIVER MEDICAL CENTER
40071,JEFFERSON REGIONAL MEDICAL CENTER
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
40074,NORTH METRO MEDICAL CENTER
40076,HOT SPRING COUNTY MEDICAL CENTER
40078,NATIONAL PARK MEDICAL CENTER
40080,HARRIS HOSPITAL
40084,SALINE MEMORIAL HOSPITAL
40085,HELENA REGIONAL MEDICAL CENTER
40088,MEDICAL CENTER SOUTH ARKANSAS
40091,MEDICAL PARK HOSPITAL
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
40118,NEA BAPTIST MEMORIAL HOSPITAL
40119,WHITE RIVER MEDICAL CENTER
40134,ARKANSAS HEART HOSPITAL
40137,ST VINCENT MEDICAL CENTER/NORTH
40147,ARKANSAS SURGICAL HOSPITAL
40152,PHYSICIANS' SPECIALTY HOSPITAL
50002,ST ROSE HOSPITAL
50006,ST JOSEPH HOSPITAL
50007,PENINSULA MEDICAL CENTER
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP
50009,QUEEN OF THE VALLEY MEDICAL CENTER
50013,ST HELENA HOSPITAL
50014,SUTTER AMADOR HOSPITAL
50016,ARROYO GRANDE COMMUNITY HOSPITAL
50017,MERCY GENERAL HOSPITAL
50018,PACIFIC ALLIANCE MEDICAL CENTER
50022,RIVERSIDE COMMUNITY HOSPITAL
50024,PARADISE VALLEY HOSPITAL
50025,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
50026,GROSSMONT HOSPITAL
50028,MAD RIVER COMMUNITY HOSPITAL
50030,OROVILLE HOSPITAL
50036,BAKERSFIELD MEMORIAL HOSPITAL
50038,SANTA CLARA VALLEY MEDICAL CENTER
50039,ENLOE MEDICAL CENTER
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER
50042,ST ELIZABETH COMMUNITY HOSPITAL
50043,ALTA BATES SUMMIT MEDICAL CENTER
50045,EL CENTRO REGIONAL MEDICAL CENTER
50046,OJAI VALLEY COMMUNITY HOSPITAL
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
50054,SAN GORGONIO MEMORIAL HOSPITAL
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS
50056,ANTELOPE VALLEY HOSPITAL MED CENTER
50057,KAWEAH DELTA MEDICAL CENTER
50058,GLENDALE MEM HOSPITAL & HLTH CENTER
50060,COMMUNITY REGIONAL MEDICAL CENTER
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
50067,OAK VALLEY DISTRICT HOSPITAL
50069,ST JOSEPH HOSPITAL
50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA
50072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK
50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER
50075,KAISER FOUNDATION HOSPITAL OAKLAND/RICHMOND
50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
50077,SCRIPPS MERCY HOSPITAL
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO
50079,DOCTORS MEDICAL CENTER-SAN PABLO
50082,ST JOHNS REGIONAL MEDICAL CENTER
50084,ST JOSEPHS MED CENTER OF STOCKTON
50089,COMMUNITY HOSPITAL OF SAN BERNARDINO
50090,SONOMA VALLEY HOSPITAL
50091,COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK
50093,SAINT AGNES MEDICAL CENTER
50096,"DOCTORS HOSPITAL OF WEST COVINA, INC"
50099,SAN ANTONIO COMMUNITY HOSPITAL
50100,SHARP MEMORIAL HOSPITAL
50101,SUTTER SOLANO MEDICAL CENTER
50102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
50103,WHITE MEMORIAL MEDICAL CENTER
50104,SAINT FRANCIS MEDICAL CENTER
50107,MARIAN MEDICAL CENTER
50108,SUTTER GENERAL HOSPITAL
50110,LOMPOC VALLEY MEDICAL CENTER
50111,TEMPLE COMMUNITY HOSPITAL
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
50115,PALOMAR MEDICAL CENTER
50116,NORTHRIDGE HOSPITAL MEDICAL CENTER
50118,DOCTORS HOSPITAL OF MANTECA
50121,ADVENTIST MEDICAL CENTER
50122,DAMERON HOSPITAL
50124,VERDUGO HILLS HOSPITAL
50125,REGIONAL MEDICAL CENTER OF SAN JOSE
50126,VALLEY PRESBYTERIAN HOSPITAL
50127,WOODLAND MEMORIAL HOSPITAL
50128,TRI-CITY MEDICAL CENTER
50129,ST BERNARDINE MEDICAL CENTER
50131,NOVATO COMMUNITY HOSPITAL
50132,SAN GABRIEL VALLEY MEDICAL CENTER
50133,RIDEOUT MEMORIAL HOSPITAL
50135,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD
50136,PETALUMA VALLEY HOSPITAL
50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES
50139,KAISER FOUNDATION HOSPITAL - DOWNEY
50140,KAISER FOUNDATION HOSPITAL FONTANA
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
50149,CALIFORNIA HOSPITAL MEDICAL CENTER LA
50150,SIERRA NEVADA MEMORIAL HOSPITAL
50152,SAINT FRANCIS MEMORIAL HOSPITAL
50153,O'CONNOR HOSPITAL
50158,ENCINO HOSPITAL MEDICAL CENTER
50159,VENTURA COUNTY MEDICAL CENTER
50167,SAN JOAQUIN GENERAL HOSPITAL
50168,ST JUDE MEDICAL CENTER
50169,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
50174,SANTA ROSA MEMORIAL HOSPITAL
50179,EMANUEL MEDICAL CENTER INC
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
50189,GEORGE L MEE MEMORIAL HOSPITAL
50191,ST MARY MEDICAL CENTER
50192,ADVENTIST MEDICAL CENTER - REEDLEY
50194,WATSONVILLE COMMUNITY HOSPITAL
50195,WASHINGTON HOSPITAL
50197,SEQUOIA HOSPITAL
50204,PALMDALE REGIONAL MEDICAL CENTER
50205,EAST VALLEY HOSPITAL MEDICAL CENTER
50211,ALAMEDA HOSPITAL
50219,COAST PLAZA HOSPITAL
50222,SHARP CHULA VISTA MEDICAL CENTER
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
50225,FEATHER RIVER HOSPITAL
50226,AHMC ANAHEIM REGIONAL MEDICAL CENTER
50228,SAN FRANCISCO GENERAL HOSPITAL
50230,GARDEN GROVE HOSPITAL & MEDICAL CENTER
50231,POMONA VALLEY HOSPITAL MEDICAL CENTER
50232,FRENCH HOSPITAL MEDICAL CENTER
50234,SHARP CORONADO HOSPITAL AND HLTHCR CTR
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR
50236,SIMI VALLEY HOSPITAL & HEALTH CARE SERVICES
50238,METHODIST HOSPITAL OF SOUTHERN CA
50239,GLENDALE ADVENTIST MEDICAL CENTER
50242,DOMINICAN HOSPITAL
50243,DESERT REGIONAL MEDICAL CENTER
50245,ARROWHEAD REGIONAL MEDICAL CENTER
50248,NATIVIDAD MEDICAL CENTER
50254,MARSHALL MEDICAL CENTER (1-RH)
50257,GOOD SAMARITAN HOSPITAL
50261,SIERRA VIEW DISTRICT HOSPITAL
50262,RONALD REAGAN UCLA MEDICAL CENTER
50264,SAN LEANDRO HOSPITAL
50272,REDLANDS COMMUNITY HOSPITAL
50276,CONTRA COSTA REGIONAL MEDICAL CENTER
50277,PACIFIC HOSPITAL OF LONG BEACH
50278,PROVIDENCE HOLY CROSS MEDICAL CENTER
50279,HI-DESERT MEDICAL CENTER
50280,MERCY MEDICAL CENTER REDDING
50281,ALHAMBRA HOSPITAL MEDICAL CENTER
50283,VALLEYCARE MEDICAL CENTER
50289,SETON MEDICAL CENTER
50290,SAINT JOHN'S HEALTH CENTER
50291,SUTTER MEDICAL CENTER OF SANTA ROSA
50292,RIVERSIDE COUNTY REGIONAL MEDICAL CENTER
50295,MERCY HOSPITAL
50296,HAZEL HAWKINS MEMORIAL HOSPITAL
50298,BARSTOW COMMUNITY HOSPITAL
50300,ST MARY MEDICAL CENTER
50301,UKIAH VALLEY MEDICAL CENTER/HOSPITAL D
50305,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP
50308,EL CAMINO HOSPITAL
50309,SUTTER ROSEVILLE MEDICAL CENTER
50313,SUTTER TRACY COMMUNITY HOSPITAL
50315,KERN MEDICAL CENTER
50320,ALAMEDA COUNTY MEDICAL CENTER
50324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA
50327,LOMA LINDA UNIVERSITY MEDICAL CENTER
50329,CORONA REGIONAL MEDICAL CENTER
50334,SALINAS VALLEY MEMORIAL HOSPITAL
50335,SONORA REGIONAL MEDICAL CENTER
50336,LODI MEMORIAL HOSPITAL
50342,PIONEERS MEMORIAL HEALTHCARE DISTRICT
50348,UNIVERSITY OF CALIFORNIA IRVINE MED CENTER
50350,BEVERLY HOSPITAL
50351,TORRANCE MEMORIAL MEDICAL CENTER
50352,BARTON MEMORIAL HOSPITAL
50353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE
50357,GOLETA VALLEY COTTAGE HOSPITAL
50359,TULARE REGIONAL MEDICAL CENTER
50360,MARIN GENERAL HOSPITAL
50367,NORTHBAY MEDICAL CENTER
50373,LAC+USC MEDICAL CENTER
50376,LAC/HARBOR-UCLA MED CENTER
50378,PACIFICA HOSPITAL OF THE VALLEY
50380,GOOD SAMARITAN HOSPITAL
50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS
50385,PALM DRIVE HOSPITAL
50390,HEMET VALLEY MEDICAL CENTER
50393,DOWNEY REGIONAL MEDICAL CENTER
50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA
50396,SANTA BARBARA COTTAGE HOSPITAL
50397,COALINGA REGIONAL MEDICAL CENTER
50407,CHINESE HOSPITAL
50411,KAISER FOUNDATION HOSPITAL - SOUTH BAY
50414,MERCY HOSPITAL OF FOLSOM
50417,SUTTER COAST HOSPITAL
50423,PALO VERDE HOSPITAL
50424,SCRIPPS GREEN HOSPITAL
50425,KAISER FOUNDATION HOSPITAL - SACRAMENTO
50426,WEST ANAHEIM MEDICAL CENTER
50434,COLUSA REGIONAL MEDICAL CENTER
50435,FALLBROOK HOSPITAL
50438,HUNTINGTON MEMORIAL HOSPITAL
50441,STANFORD HOSPITAL
50444,MERCY MEDICAL CENTER
50448,RIDGECREST REGIONAL HOSPITAL
50454,UCSF MEDICAL CENTER
50455,SAN JOAQUIN COMMUNITY HOSPITAL
50457,ST MARY'S MEDICAL CENTER
50464,DOCTORS MEDICAL CENTER
50468,MEMORIAL HOSPITAL OF GARDENA
50471,GOOD SAMARITAN HOSPITAL
50481,WEST HILLS HOSPITAL & MEDICAL CENTER
50485,LONG BEACH MEMORIAL MEDICAL CENTER
50488,EDEN MEDICAL CENTER
50492,CLOVIS COMMUNITY MEDICAL CENTER
50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS
50498,SUTTER AUBURN FAITH HOSPITAL
50502,SAINT VINCENT MEDICAL CENTER
50503,SCRIPPS MEMORIAL HOSPITAL - ENCINITAS
50506,SIERRA VISTA REGIONAL MEDICAL CENTER
50510,KAISER FOUNDATION HOSPITAL
50512,KAISER FOUNDATION HOSPITAL FREMONT/HAYWARD
50515,KAISER FOUNDATION HOSPITAL - SAN DIEGO
50516,MERCY SAN JUAN MEDICAL CENTER
50517,VICTOR VALLEY COMMUNITY HOSPITAL
50523,SUTTER DELTA MEDICAL CENTER
50526,HUNTINGTON BEACH HOSPITAL
50528,MEMORIAL HOSPITAL LOS BANOS
50531,BELLFLOWER MEDICAL CENTER
50534,"JOHN F KENNEDY MEMORIAL HOSPITAL, INC"
50537,SUTTER DAVIS HOSPITAL
50541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY
50543,COLLEGE HOSPITAL COSTA MESA
50546,PORTERVILLE DEVELOPMENTAL CENTER
50547,SONOMA DEVELOPMENTAL CENTER
50548,FAIRVIEW DEVELOPMENTAL CENTER
50549,LOS ROBLES HOSPITAL & MEDICAL CENTER
50551,LOS ALAMITOS MEDICAL CENTER
50557,MEMORIAL  MEDICAL CENTER
50561,KAISER FOUNDATION HOSPITAL - WEST LA
50567,MISSION HOSPITAL REGIONAL MED CENTER
50568,MADERA COMMUNITY HOSPITAL
50570,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER
50573,EISENHOWER MEDICAL CENTER
50575,TRI-CITY REGIONAL MEDICAL CENTER
50580,LA PALMA INTERCOMMUNITY HOSPITAL
50581,LAKEWOOD REGIONAL MEDICAL CENTER
50586,CHINO VALLEY MEDICAL CENTER
50588,SAN DIMAS COMMUNITY HOSPITAL
50589,PLACENTIA LINDA HOSPITAL
50590,METHODIST HOSPITAL OF SACRAMENTO
50597,FOOTHILL PRESBYTERIAN HOSPITAL
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
50603,SADDLEBACK MEMORIAL MEDICAL CENTER
50604,KAISER FOUNDATION HOSPITAL-SAN JOSE
50608,DELANO REGIONAL MEDICAL CENTER
50609,KAISER FOUNDATION HOSPITAL ANAHEIM
50616,ST JOHNS PLEASANT VALLEY HOSPITAL
50618,BEAR VALLEY COMMUNITY HOSPITAL
50624,HENRY MAYO NEWHALL MEMORIAL HOSPITAL
50625,CEDARS-SINAI MEDICAL CENTER
50633,TWIN CITIES COMMUNITY HOSPITAL
50636,POMERADO HOSPITAL
50641,EAST LOS ANGELES DOCTORS HOSPITAL
50644,LOS ANGELES METROPOLITAN MEDICAL CTR
50663,LOS ANGELES COMMUNITY HOSPITAL
50668,LAGUNA HONDA HOSPITAL & REHABILITATION CENTER
50674,KAISER FOUNDATION HOSP SO SACRAMENTO
50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
50678,ORANGE COAST MEMORIAL MEDICAL CENTER
50680,NORTHBAY VACAVALLEY HOSPITAL
50684,MENIFEE VALLEY MEDICAL CENTER
50686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE"
50688,SAINT LOUISE REGIONAL HOSPITAL
50689,SAN RAMON REGIONAL MEDICAL CTR
50690,KAISER FOUNDATION HOSPITAL-SANTA ROSA
50696,KECK HOSPITAL OF USC
50697,PATIENTS' HOSPITAL OF REDDING
50701,SOUTHWEST HEALTHCARE SYSTEM
50704,MISSION COMMUNITY HOSPITAL - PANORAMA
50708,FRESNO SURGICAL HOSPITAL
50709,DESERT VALLEY HOSPITAL
50714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR
50723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK
50724,BAKERSFIELD HEART HOSPITAL
50726,STANISLAUS SURGICAL HOSPITAL
50727,COMMUNITY HOSPITAL OF LONG BEACH
50732,FRESNO HEART AND SURGICAL HOSPITAL
50735,WHITTIER HOSPITAL MEDICAL CENTER
50736,MONTEREY PARK HOSPITAL
50737,GARFIELD MEDICAL CENTER
50738,GREATER EL MONTE COMMUNITY HOSPITAL
50739,CENTINELA HOSPITAL MEDICAL CENTER
50740,MARINA DEL REY HOSPITAL
50742,OLYMPIA MEDICAL CENTER
50744,WESTERN MEDICAL CENTER HOSP ANAHEIM
50745,CHAPMAN MEDICAL CENTER
50746,WESTERN MEDICAL CENTER SANTA ANA
50747,COASTAL COMMUNITIES HOSPITAL
50748,KAISER FOUNDATION HOSPITAL MANTECA
50752,BROTMAN MEDICAL CENTER
50755,SHERMAN OAKS HOSPITAL
50757,ALVARADO HOSPITAL MEDICAL CENTER
50758,MONTCLAIR HOSPITAL MEDICAL CENTER
50760,KAISER FOUNDATION HOSPITAL - ANTIOCH
50761,PROVIDENCE TARZANA MEDICAL CENTER
50763,SILVER LAKE MEDICAL CENTER
50764,SHASTA REGIONAL MEDICAL CENTER
50765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY
50766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY
50768,ANAHEIM GENERAL HOSPITAL
50769,HOAG ORTHOPEDIC INSTITUTE
50770,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
60001,NORTH COLORADO MEDICAL CENTER
60003,LONGMONT UNITED HOSPITAL
60004,PLATTE VALLEY MEDICAL CENTER
60006,MONTROSE MEMORIAL HOSPITAL
60008,SAN LUIS VALLEY REGIONAL MEDICAL CENTER
60009,EXEMPLA LUTHERAN MEDICAL CENTER
60010,POUDRE VALLEY HOSPITAL
60011,DENVER HEALTH MEDICAL CENTER
60012,CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER
60013,MERCY REGIONAL MEDICAL CENTER
60014,PRESBYTERIAN/ST LUKE'S MEDICAL CENTER
60015,CENTURA HEALTH-ST ANTHONY HOSPITAL
60016,CENTURA HEALTH-ST THOMAS MORE HOSPITAL
60020,PARKVIEW MEDICAL CENTER INC
60022,MEMORIAL HOSPITAL CENTRAL
60023,ST MARYS HOSPITAL AND MEDICAL CENTER
60024,UNIVERSITY OF COLORADO HOSPITAL ANSCHUTZ INPATIENT
60027,BOULDER COMMUNITY HOSPITAL
60028,EXEMPLA SAINT JOSEPH HOSPITAL
60030,MCKEE MEDICAL CENTER
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES
60032,ROSE MEDICAL CENTER
60034,SWEDISH MEDICAL CENTER
60036,ARKANSAS VALLEY REGIONAL MEDICAL CENTER
60043,KEEFE MEMORIAL HOSPITAL
60044,COLORADO PLAINS MEDICAL CENTER
60049,YAMPA VALLEY MEDICAL CENTER
60054,COMMUNITY HOSPITAL
60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL
60065,NORTH SUBURBAN MEDICAL CENTER
60071,DELTA COUNTY MEMORIAL HOSPITAL
60075,VALLEY VIEW HOSPITAL ASSOCIATION
60076,STERLING REGIONAL MEDCENTER
60096,VAIL VALLEY MEDICAL CENTER
60100,"MEDICAL CENTER OF AURORA, THE"
60103,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL
60104,CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL
60112,SKY RIDGE MEDICAL CENTER
60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL
60114,PARKER ADVENTIST HOSPITAL
